Year,Deaths,Population,Crude Rate,Age-Adjusted Rate
1995,15551,266278403,5.84,5.686773683
1996,14037,269394291,5.21,5.102872887
1997,13252,272646932,4.86,4.770453117
1998,11798,275854116,4.28,4.206765764
1999,10828,279040238,3.88,3.822590452
2000,10801,282171936,3.83,3.776704241
2001,11348,284968955,3.98,3.93253428
2002,11829,287625193,4.11,4.068085842
2003,11920,290107933,4.11,4.069227374
2004,11624,292805298,3.97,3.938707823
2005,12352,295516599,4.18,4.165910895
2006,12791,298379912,4.29,4.273604276
2007,12632,301231207,4.19,4.204103189
2008,12179,304093966,4.01,4.029036079
2009,11493,306771529,3.75,3.777863605
2010,11078,308747508,3.59,3.621249793
2011,11068,,,
2012,11622,,,
2013,11208,,,
2014,11008,,,
2015,12979,,,
